isbn,language_code,text_reviews_count,authors,publisher,num_pages,isbn13,bookID,ratings_count,title,average_rating,publication_month,publication_year
0836821416,,1,"Eric Ethan, Cameras in Action Staff",Gareth Stevens Publishing,1,9780836821413,6459501,1,Winston 500,2,1,1999
097866213X,,5,Sandi Gelles-Cole,Gelles-Cole Literary Enterprises,12,9780978662134,11354540,12,The Memoir of Marilyn Monroe,2,4,2011
1935192051,,1,Michael Powers,Dreamspinner Press,10,9781935192053,6936251,10,Selfless,2,8,2008
9020996630,nl,1,"Noel Slangen, Jan Withofs",Uitgeverij Terra - Lannoo,1,9789020996630,13324579,1,Communiceren in the New Normal,2,11,2011
1590849442,,2,Jean Ford,Mason Crest Publishers,2,9781590849446,3280117,2,Diseases and Disabilities Caused by Weight Problems: The Overloaded Body,2,2,2005
0719097665,,1,Gary Murphy,Manchester University Press,2,9780719097669,29941125,2,Electoral Competition in Ireland Since 1987: The Politics of Triumph and Despair,2,7,2016
0595413862,,1,Charles Tive,iUniverse,1,9780595413867,1911900,1,419 Scam: Exploits of the Nigerian Con Man,2,9,2006
1592530869,,1,Simon Dixon,Rockport Publishers,2,9781592530861,12471822,2,Great Graphics on a Budget: Creating Cutting-Edge Work for Less,2,9,2004
113726358X,,2,Guinevere Liberty Nell,Palgrave Macmillan,2,9781137263582,17701996,2,Basic Income and the Free Market: Austrian Economics and the Potential for Efficient Redistribution,2,8,2013
149990164X,,1,Tina Marie Maes,Fastpencil Publishing,1,9781499901641,31916033,1,Ailleianne,2,8,2016
3499261405,ger,1,Maria Mahler,Wunderlich Verlag,1,9783499261404,9534263,1,Gefrühstückt wird zu Hause,2,,1999
0836807979,,1,Isaac Asimov,Gareth Stevens Publishing,2,9780836807974,70779,2,Why Are the Rain Forests Vanishing?,2,9,1997
1492285692,eng,1,Jaime Kulaga,Createspace Independent Publishing Platform,1,9781492285694,19129722,1,Type Superwoman: Finding the Life in Work-Life Balance: A Self-Searching Book for Women,2,11,2013
1608869687,,1,"Megan Brennan, Ben Bocquelet, Katy Farina",KaBOOM!,1,9781608869688,32333131,1,Amazing World of Gumball Original Graphic Novel: Recipe  for Disaster: Recipe for Disaster,2,5,2017
0091835011,eng,2,Brian Castro,Random House Australia (Vintage),10,9780091835019,1228858,10,Stepper,2,,1997
0765322617,eng,22,David      Black,Forge Books,77,9780765322616,7945480,77,The Extinction Event,2,5,2010
1600245692,,24,"Julie Powell, Joshua Ferris","Little, Brown & Company",49,9781600245695,7042173,49,"Cleaving: A Story of Marriage, Meat, and Obsession",2,12,2009
082232587X,,1,Patrick O'Donnell,Duke University Press Books,4,9780822325871,463138,4,Latent Destinies: Cultural Paranoia and Contemporary U.S. Narrative,2,10,2000
1742374387,,3,Dianne Todaro,Allen  Unwin,3,9781742374383,10762617,3,How to Talk to Boys,2,9,2011
1413429432,,1,A. Jarrell Hayes,Xlibris Corporation,1,9781413429435,3985233,1,Crowning of the Good King,2,12,2004
1432971808,,2,Daniel Nunn,Heinemann Educational Books,3,9781432971809,15945139,3,Families in Spanish: Las Familias,2,1,2013
0814474624,,1,"Edward I. Koch, Christy Heady",AMACOM/American Management Association,2,9780814474624,1490180,2,Buzz: How to Create It and Win with It,2,7,2007
881701818X,ita,6,Federico Moccia,Rizzoli,126,9788817018180,3268799,126,Cercasi Niki disperatamente,2,,2007
0709115946,eng,3,Brenda Honeyman,Hale,6,9780709115946,3182015,6,Richmond and Elizabeth,2,10,1970
189322483X,,2,Geoffrey Dilenschneider,New Millennium Press,6,9781893224834,1939789,6,Between Two Junes Is a Forest: A Journal of Everything,2,8,2003
0801045134,,1,"Carolyn Larsen, Caron Turk",Baker Books,1,9780801045134,330689,1,My Baby Bible for Little Girls,2,9,2002
1450470432,,1,James R. Morrow Jr.,Human Kinetics Publishers,1,9781450470438,23531938,1,Measurement and Evaluation in Human Performance with Web Study Guide 5th Edition,2,10,2015
